"CO_SEQ_ID";"NU_VTMID";"DT_VTMIDDT";"CO_VTMIDPREV";"ST_INVALID";"NO_NM";"NO_ABBREVNM";"AU_AUDIT_CREATE_DATETIME";"AU_AUDIT_CHANGE_DATETIME";"AU_AUDIT_CREATE_USERNAME";"AU_AUDIT_CHANGE_USERNAME";"NU_VERSION";"ST_REGISTRO_ATIVO";"ST_CHANGE_APPROVE"
"503030";"@brasil13722098965";;;;"Betametasona+ Clorfenesina + Tetracaína ";;"1505421978";"1505421978";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503031";"@brasil16701443348";;;;"Betapeginterferona 1a";;"1505421978";"1505421978";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503032";"@brasil12340920158";;;"1";"Betapeginterferona 1a";;"1505421978";"1505421978";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503033";"@brasil11600271053";;;"1";"Betapeginterferona 1a";;"1505421978";"1505421978";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503034";"@brasil10978595102";;;"1";"Betapeginterferona 1a";;"1505421978";"1505421978";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503035";"@brasil10092162656";;;;"Brinzolamida + Brimonidina";;"1505421978";"1505421978";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503036";"@brasil17525028284";;;;"Brometo de Umeclidíno";;"1505421978";"1505421978";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503037";"@brasil17348653763";;;;"Busserelina";;"1505421978";"1505421978";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503038";"@brasil14168184271";;;;"Calendula officinalis + Óxido de Zinco";;"1505421979";"1505421979";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503039";"@brasil18794960376";;;"1";"Cambendazol + Mebendazol ";;"1505421979";"1505421979";"franco.pvizzotto";"franco.pvizzotto";"0";"INACTIVE";"APPROVED"
"503040";"@brasil11470249379";;;;"Cambendazol + Mebendazol ";;"1505421979";"1505421979";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
"503042";"@brasil10966366072";;;;"Carfilzomibe";;"1505421979";"1505421979";"franco.pvizzotto";"1";"0";"ACTIVE";"APPROVED"
