"id_vtm";"codigo_obm";"nome_vtm";"nome_vtm_abreviado";"ingredientes_cod_nome"
"288661";"@brasil18335917905";"Ácido Ascórbico + Carbonato de Cálcio + Colecalciferol + Piridoxina";;
"288662";"@brasil12015937595";"Ácido Ascórbico + Glicose";;
"11231";"@brasil13318625243";"Ácido Ascórbico + Zinco";;
"288663";"@brasil15071934567";"Ácido Azeláico";;
"790518";"@brasil14138161216";"Ácido Bórico";;
"65357";"@brasil10869256863";"Ácido Cítrico + Citrato de Sódio + Citrato de Potássio";;
"288658";"@brasil15835614375";"Ácido Épsilon Aminocaproico + Benzoato de Sódio + Guaifenesina + Cloreto de Amônio";;
"412564";"@brasil10916759203";"Ácido épsilon-aminocaproico";;
"11232";"@brasil16580571108";"Ácido Fólico";;
"288666";"@brasil18781911262";"Ácido Fólico + Ácido Ascórbico";;
"288667";"@brasil19879061400";"Ácido Fólico + Bisglicinato Ferroso";;
"288668";"@brasil13049573527";"Ácido Fólico + Dextroalfatocoferol";;
"11235";"@brasil16124997906";"Ácido Fólico + Piridoxina + Cianocobalamina";;
"42692";"@brasil18144088495";"Ácido Fólico + Racealfatocoferol";;
"42693";"@brasil14129545709";"Ácido Folínico";;
"42694";"@brasil16215463368";"Ácido Fusídico";;
"42695";"@brasil18688680023";"Ácido Fusídico + Betametasona";;
"288670";"@brasil18904698432";"Ácido Fusídico + Hidrocortisona";;
"288671";"@brasil17691441248";"Ácido Gamaminobutírico";;
"790519";"@brasil17076977757";"Ácido Gamaminobutírico + Lisina + Tiamina + Piridoxina + Cálcio";;
"288672";"@brasil11743111256";"Ácido Hialurônico";;
"11236";"@brasil15645427064";"Ácido Ibandrônico";;
"11237";"@brasil19852141912";"Ácido Mefenâmico";;
"11238";"@brasil12324428680";"Ácido Micofenólico";;
"11239";"@brasil12065717969";"Ácido Nalidíxico";;
"11240";"@brasil13355304116";"Ácido Nicotínico";;
"42696";"@brasil14797010322";"Ácido Paraminossalicílico";;
"42697";"@brasil17919011848";"Ácido Poliacrílico";;
"42698";"@brasil15204028583";"Ácido Salicílico";;
"42699";"@brasil12263107682";"Ácido Salicílico + Ácido Láctico";;
"288673";"@brasil15641232844";"Ácido Salicílico + Coaltar";;
"288674";"@brasil12976830761";"Ácido Salicílico + Enxofre";;
"11241";"@brasil10579366981";"Ácido Tióctico";;
"11242";"@brasil12830922865";"Ácido Tranexâmico";;
"790521";"@brasil13621094266";"Ácido Tricloroacético";;
"790514";"@brasil12224631142";"Ácido Undecilênico";;
"288675";"@brasil17960455581";"Ácido Undecilênico + Undecilenato de Zinco + Propionato de Zinco + Hexilresorcina";;
"11243";"@brasil12416513693";"Ácido Ursodesoxicólico";;
"11244";"@brasil13589800179";"Ácido Valproico";;
"42700";"@brasil15703452968";"Ácido Zoledrônico";;
"790549";"@brasil55101";"Ácidos Graxos Essenciais";;
"790520";"@brasil12970405445";"Ácidos Graxos Poliinsaturados Marinhos";;
"11245";"@brasil10699460124";"Acitretina";;
"65358";"@brasil17065646429";"Adalimumabe";;
"42701";"@brasil11727942107";"Adapaleno";;
"288676";"@brasil10871785934";"Adapaleno + Clindamicina";;
"288677";"@brasil10477563235";"Adapaleno + Peróxido de Benzoíla";;
"11246";"@brasil12727900390";"Adefovir";;
"42702";"@brasil11529351938";"Adenosina";;
"288678";"@brasil19772458679";"Adenosina + Racemetionina + Betaína + Piridoxina";;
"11247";"@brasil11541121891";"Aesculus hippocastanum L. (Castanha da Índia)";;
"288679";"@brasil17429604004";"Afatinibe";;
"288680";"@brasil17830644292";"Aflibercepte";;
"11248";"@brasil19521908590";"Agomelatina";;
"42703";"@brasil12462933679";"Água";;
"790531";"@brasil16995366770";"Água Destilada";;
"288681";"@brasil16864409758";"Água do Mar";;
"288682";"@brasil10830116225";"Água para Injetáveis";;
"288683";"@brasil13557352155";"Alanilglutamina";;
"288684";"@brasil15296412411";"Alantoína";;
"790550";"@brasil55101";"Alantoína + Aloe Vera + Ácidos Graxos Essenciais + Vitaminas A e E";;
"11249";"@brasil12986177589";"Albendazol";;
"65359";"@brasil12720461870";"Albumina Humana";;
"288685";"@brasil15810005901";"Alcaftadina";;
"42704";"@brasil17726612888";"Alcatrão Mineral";;
"790522";"@brasil19194255300";"Álcool Etílico";;"6895 - álcool etílico"
"288686";"@brasil13160792581";"Álcool Polivinílico";;
"42705";"@brasil11244263714";"Álcool Polivinílico + Povidona";;
"288688";"@brasil12387350118";"Aldesleucina";;
"790532";"@brasil15871071837";"Alendronato de Sódio";;
"42706";"@brasil13041480213";"Alentuzumabe";;
"288689";"@brasil16814914369";"Alfa-Agalsidase";;
"288690";"@brasil16912521799";"Alfa-Aglicosidase";;
"42707";"@brasil11474610232";"Alfa1antitripsina";;
"11250";"@brasil16365162483";"Alfacalcidol";;
"288691";"@brasil14117866198";"Alfacorifolitropina";;
"42708";"@brasil18248610828";"Alfacoriogonadotropina";;
"288692";"@brasil19851765900";"Alfadarbepoetina";;
"42709";"@brasil16819223756";"Alfadornase";;
"288693";"@brasil16905231219";"Alfadrotrecogina";;
"288694";"@brasil14970858705";"Alfaeftrenonacogue";;
"503021";"@brasil11842037495";"Alfaelosulfase";;
"42710";"@brasil19350286607";"Alfaepoetina";;
"288695";"@brasil14138600176";"Alfaeptacogue Ativado";;
"288696";"@brasil15780425075";"Alfaestradiol";;
"42711";"@brasil16293762079";"Alfafolitropina";;
"609555";"@brasil10051378578";"Alfafolitropina + Alfalutropina";;
"42712";"@brasil13417950879";"Alfainterferona 2a";;
"42713";"@brasil18208468469";"Alfainterferona 2b";;
"42714";"@brasil10788490017";"Alfalutropina";;
"288697";"@brasil16486325156";"Alfamoroctocogue";;
"288698";"@brasil15090350865";"Alfanonacogue";;
"42715";"@brasil19317044985";"Alfapeginterferona 2a";;
"42716";"@brasil14219755188";"Alfapeginterferona 2b";;
"288699";"@brasil15992779167";"Alfaporactanto";;
"551153";"@brasil19257124520";"alfaquimotripsina ";;
"503022";"@brasil13730240391";"Alfasimoctocogue";;
"42717";"@brasil13147641291";"Alfataliglicerase";;
"42718";"@brasil13078941201";"Alfatirotropina";;
"42719";"@brasil15951782440";"Alfavelaglicerase";;
"790554";"@brasil9758162131";"Alfavestronidase";"Alfavestronidase";"506485 - alfavestronidase"
"42720";"@brasil10522088910";"Alfentanila";;
"11251";"@brasil12867279957";"Alfuzosina";;
"42721";"@brasil14755097537";"Algestona + Estradiol";;
"288700";"@brasil14692843549";"Alginato de Sódio + Bicarbonato de Potássio";;
"288701";"@brasil15485880555";"Alginato de Sódio + Bicarbonato de Potássio + Carbonato de Cálcio";;
"503026";"@brasil10687671983";"Alirocumabe";;
"11252";"@brasil15240912645";"Alisquireno";;
"11253";"@brasil17602723665";"Alisquireno + Hidroclorotiazida";;
"288702";"@brasil13350872436";"Alizaprida";;
"412563";"@brasil11716365525";"Almitrina";;
"42722";"@brasil12209221265";"Aloe vera";;
