resource_type,id,name,company,website,location,public_access,logo_url,attr:alpha3,attr:numeric,full_name,owner_id,owner_type,source_type,default_locale,description,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source
Concept,110,INGLATERRA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,111,IRLANDA DO NORTE,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,112,IRLANDA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,113,ISLANDIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,114,IUGOSLAVIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,115,LIECHTENSTEIN,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,116,LUXEMBURGO,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,117,ILHAS DE MAN,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,118,MONACO,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,119,NORUEGA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,120,REPUBLICA DE MALTA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,121,PAIS DE GALES,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,122,PAISES BAIXOS,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,123,POLONIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,124,ROMENIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,125,SAN MARINO,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,126,SUECIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,127,"SVALBARD E JAN MAYER,IS",,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,128,TCHECOSLOVAQUIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,129,ESTADO DA CIDADE DO VATICANO,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,130,CROACIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,131,SERVIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,132,ESLOVENIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,133,REPUBLICA DA MACEDONIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,134,BOSNIA HERZEGOVINA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,135,REPUBLICA TCHECA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,136,ESLOVAQUIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,137,MONTENEGRO,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,138,AZERBAIJAO,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,139,BASHKISTA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,140,REPUBLICA DA BIELORRUSSIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,141,BURYAT,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,142,CARELIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,143,CAZAQUISTAO,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,144,CHECHEN INGUSTH,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,145,CHUVASH,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,146,DAGESTA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,147,ESTONIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,148,GEORGIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,149,GORNO ALTAI,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,150,KABARDINO BALKAR,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,151,KALMIR,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,152,KARACHAEVOCHERKESS,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,153,KHAKASS,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,154,KOMI,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,155,LETONIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,156,LITUANIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,157,MARI,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,158,MOLDAVIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,159,OSSETIA SETENTRIONAL,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,160,QUIRGUISTAO,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,161,TADJIQUISTAO,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,162,TARTARIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,163,TURCOMENISTAO,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,164,TUVIN,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,165,UCRANIA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,166,UDMURT,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,167,UNIAO SOVIETICA,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
Concept,168,UZBEQUISTAO,,,,,,,,,MS,Organization,,por,,TRUE,,TRUE,,,Text,Misc,BRPais
