,resource_type,id,name,company,website,location,public_access,logo_url,description,text,attr:Ex_Num,attr:ex_name,full_name,owner_id,owner_type,source_type,default_locale,supported_locales,custom_validation_schema,external_id,canonical_url,hierarchy_meaning,hierarchy_root_url,internal_reference_id,meta,collection_reference,publisher,purpose,copyright,revision_date,experimental,jurisdiction,content_type,case_sensitive,compositional,version_needed,external_id,retired,datatype,concept_class,source,description[1],description[2],name[1],name_type[1],parent_concept_urls[0],map_type[0],map_from_concept_id[0],map_to_concept_id[0],map_type,to_concept_url,from_concept_url,attr:categoria,collection_type,immutable,jurisdiction[1],jurisdiction[2],collection_url,data:expressions,name_type,name_locale
0,Concept,morango,Morango,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Morangos,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,mostarda,Mostarda,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Mostarda,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,niquel,Níquel,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Níquel,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,noz,Nozes,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Noz,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,noz-moscada,Noz moscada,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Noz moscada,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,oleo-eucalipto,Óleo de eucalipto,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Óleo de eucalipto,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,oleo-peixe,Óleo de Peixe,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Óleo de Peixe,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,organofosfato,Organofosfatos,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Pesticidas organofosfatos,,,,,,,,,,,environment,,,,,,,Fully Specified,por
0,Concept,ostra,Ostra,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Ostras,,,,,,,,,,,food,,,,,,,Fully Specified,por
0,Concept,ouro,Ouro,,,por,,,,,,,,MS,Organization,,por,,,,,,,,,,,,,,,,,TRUE,,,,,text, Misc,BRAlergenosCBARA,Ouro,,,,,,,,,,,environment,,,,,,,Fully Specified,por
